"taxon_name","accepted_wcvp_name","accepted_wcvp_name_binomial"
"Boschniakia sp.","Boschniakia sp.","Boschniakia sp."
"Bothriochloa barbinodis (Lag.) Herter","Bothriochloa barbinodis (Lag.) Herter","Bothriochloa barbinodis"
"Bothriochloa bladhii (Retz.) S.T. Blake","Bothriochloa bladhii (Retz.) S.T.Blake","Bothriochloa bladhii"
"Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan","Bothriochloa ischaemum (L.) Keng","Bothriochloa ischaemum"
"Bothriochloa ischaemum (L.) Keng var. ischaemum","Bothriochloa ischaemum (L.) Keng var. ischaemum","Bothriochloa ischaemum"
"Bothriochloa ischaemum (L.) Keng","Bothriochloa ischaemum (L.) Keng","Bothriochloa ischaemum"
"Bothriochloa laguroides (DC.) Herter","Bothriochloa laguroides (DC.) Herter","Bothriochloa laguroides"
"Bothriochloa pertusa (L.) A. Camus","Bothriochloa pertusa (L.) A.Camus","Bothriochloa pertusa"
"Bothriochloa sp.","Bothriochloa sp.","Bothriochloa sp."
"Bothriochloa spp.","Bothriochloa spp.","Bothriochloa sp."
"Bothriochloa laguroides (DC.) Herter ssp. torreyana (Steud.) Allred & Gould","Bothriochloa torreyana (Steud.) Scrivanti & Anton","Bothriochloa torreyana"
"Botrychium acuminatum W.H. Wagner","Botrychium acuminatum W.H.Wagner","Botrychium acuminatum"
"Botrychium lanceolatum (S.G. Gmel.) Angstr. var. angustisegmentum Pease & A.H. Moore","Botrychium angustisegmentum (Pease & A.H.Moore) Fernald","Botrychium angustisegmentum"
"Botrychium biternatum (Sav.) Underw.","Botrychium biternatum Underw.","Botrychium biternatum"
"Botrychium dissectum Spreng.","Botrychium dissectum Spreng.","Botrychium dissectum"
"Botrychium lanceolatum (S.G. Gmel.) Angstr.","Botrychium lanceolatum (S.G.Gmel.) Ångstr.","Botrychium lanceolatum"
"Botrychium lunaria (L.) Sw.","Botrychium lunaria (L.) Sw.","Botrychium lunaria"
"Botrychium lunarioides (Michx.) Sw.","Botrychium lunarioides (Michx.) Sw.","Botrychium lunarioides"
"Botrychium matricariifolium (A. Braun ex Dowell) A. Braun ex W.D.J. Koch","Botrychium matricariifolium (Retz.) A.Braun ex W.D.J.Koch","Botrychium matricariifolium"
"Botrychium multifidum (S.G. Gmel.) Trevis.","Botrychium multifidum (S.G.Gmel.) Rupr.","Botrychium multifidum"
"Botrychium oneidense (Gilbert) House","Botrychium oneidense (Gilbert) House","Botrychium oneidense"
"Botrychium simplex E. Hitchc.","Botrychium simplex E.Hitchc.","Botrychium simplex"
"Botrychium sp.","Botrychium sp.","Botrychium sp."
"Botrychium spp.","Botrychium spp.","Botrychium sp."
"Botrychium spathulatum W.H. Wagner","Botrychium spathulatum W.H.Wagner","Botrychium spathulatum"
"Botrychium virginianum (L.) Sw.","Botrychium virginianum (L.) Sw.","Botrychium virginianum"
"Bourreria sp.","Bourreria sp.","Bourreria sp."
"Bourreria spp.","Bourreria spp.","Bourreria sp."
"Bourreria succulenta Jacq.","Bourreria succulenta Jacq.","Bourreria succulenta"
"Bourreria virgata (Sw.) G. Don","Bourreria virgata (Sw.) G.Don","Bourreria virgata"
"Bouteloua aristidoides (Kunth) Griseb.","Bouteloua aristidoides (Kunth) Griseb.","Bouteloua aristidoides"
"Bouteloua aristidoides (Kunth) Griseb. var. aristidoides","Bouteloua aristidoides (Kunth) Griseb. var. aristidoides","Bouteloua aristidoides"
"Bouteloua aristidoides (Kunth) Griseb. var. arizonica M.E. Jones","Bouteloua arizonica (M.E.Jones) Cuellar & Columbus","Bouteloua arizonica"
"Bouteloua barbata Lag.","Bouteloua barbata Lag.","Bouteloua barbata"
"Bouteloua rothrockii Vasey","Bouteloua barbata Lag.","Bouteloua barbata"
"Bouteloua chondrosioides (Kunth) Benth. ex S. Watson","Bouteloua chondrosioides (Kunth) Benth. ex S.Watson","Bouteloua chondrosioides"
"Bouteloua curtipendula (Michx.) Torr.","Bouteloua curtipendula (Michx.) Torr.","Bouteloua curtipendula"
"Bouteloua curtipendula (Michx.) Torr. var. curtipendula","Bouteloua curtipendula var. curtipendula","Bouteloua curtipendula"
"Bouteloua dactyloides (Nutt.) J.T. Columbus","Bouteloua dactyloides (Nutt.) Columbus","Bouteloua dactyloides"
"Bouteloua eludens Griffiths","Bouteloua eludens Griffiths","Bouteloua eludens"
"Cathestecum erectum Vasey & Hack.","Bouteloua erecta (Vasey & Hack.) Columbus","Bouteloua erecta"
"Bouteloua eriopoda (Torr.) Torr.","Bouteloua eriopoda (Torr.) Torr.","Bouteloua eriopoda"
"Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","Bouteloua gracilis (Kunth) Lag. ex Griffiths","Bouteloua gracilis"
"Bouteloua hirsuta Lag.","Bouteloua hirsuta Lag.","Bouteloua hirsuta"
"Bouteloua repens (Kunth) Scribn. & Merr.","Bouteloua repens (Kunth) Scribn. & Merr.","Bouteloua repens"
"Bouteloua rigidiseta (Steud.) Hitchc.","Bouteloua rigidiseta (Steud.) Hitchc.","Bouteloua rigidiseta"
"Bouteloua sp.","Bouteloua sp.","Bouteloua sp."
"Bouteloua spp.","Bouteloua spp.","Bouteloua sp."
"Bouteloua trifida Thurb.","Bouteloua trifida Thurb. ex S.Watson","Bouteloua trifida"
"Bowlesia incana Ruiz & Pav.","Bowlesia incana Ruiz & Pav.","Bowlesia incana"
"Brachyelytrum aristosum (Michx.) Trel.","Brachyelytrum aristosum (Michx.) Trel., Branner & Coville","Brachyelytrum aristosum"
"Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","Brachyelytrum erectum (Schreb.) P.Beauv.","Brachyelytrum erectum"
"Brachyelytrum sp.","Brachyelytrum sp.","Brachyelytrum sp."
"Brachymenium erectum (Hook.) Margad.","Brachymenium erectum (Hook.) Margad.","Brachymenium erectum"
"Chrysopsis pilosa Nutt.","Bradburia pilosa (Nutt.) Semple","Bradburia pilosa"
"Brasenia schreberi J.F. Gmel.","Brasenia schreberi J.F.Gmel.","Brasenia schreberi"
"Brasenia sp.","Brasenia sp.","Brasenia sp."
"Brassica juncea (L.) Czern.","Brassica juncea (L.) Czern.","Brassica juncea"
"Brassica sp.","Brassica sp.","Brassica sp."
"Brassica spp.","Brassica spp.","Brassica sp."
"Neotorularia humilis (C.A. Mey.) Hedge & J. Léonard","Braya humilis (C.A.Mey.) B.L.Rob.","Braya humilis"
"Brazoria arenaria Lundell","Brazoria arenaria Lundell","Brazoria arenaria"
"Mitella breweri A. Gray","Brewerimitella breweri (A.Gray) R.A.Folk & Y.Okuyama","Brewerimitella breweri"
"Brickellia californica (Torr. & A. Gray) A. Gray","Brickellia californica (Torr. & A.Gray) A.Gray","Brickellia californica"
"Brickellia coulteri A. Gray","Brickellia coulteri A.Gray","Brickellia coulteri"
"Brickellia eupatorioides (L.) Shinners","Brickellia eupatorioides (L.) Shinners","Brickellia eupatorioides"
"Brickellia sp.","Brickellia sp.","Brickellia sp."
"Brickellia eupatorioides (L.) Shinners var. corymbulosa (Torr. & A. Gray) Shinners","Brickellia suaveolens (Fresen.) G.L.Nesom","Brickellia suaveolens"
"Solidago discoidea Elliott","Brintonia discoidea (Elliott) Greene","Brintonia discoidea"
"Briza minor L.","Briza minor L.","Briza minor"
"Briza sp.","Briza sp.","Briza sp."
"Brodiaea coronaria (Salisb.) Engl.","Brodiaea coronaria (Salisb.) Jeps.","Brodiaea coronaria"
"Brodiaea elegans Hoover","Brodiaea elegans Hoover","Brodiaea elegans"
"Brodiaea elegans Hoover ssp. elegans","Brodiaea elegans subsp. elegans","Brodiaea elegans"
"Brodiaea sp.","Brodiaea sp.","Brodiaea sp."
"Brodiaea terrestris Kellogg ssp. kernensis (Hoover) Niehaus","Brodiaea terrestris subsp. kernensis (Hoover) Niehaus","Brodiaea terrestris"
"Bromelia sp.","Bromelia sp.","Bromelia sp."
"Bromidium spp.","Bromidium spp.","Bromidium sp."
"Bromus arenarius Labill.","Bromus arenarius Labill.","Bromus arenarius"
"Bromus arizonicus (Shear) Stebbins","Bromus arizonicus (Shear) Stebbins","Bromus arizonicus"
"Bromus arvensis L.","Bromus arvensis L.","Bromus arvensis"
"Bromus briziformis Fisch. & C.A. Mey.","Bromus briziformis Fisch. & C.A.Mey.","Bromus briziformis"
"Bromus carinatus Hook. & Arn.","Bromus carinatus Hook. & Arn.","Bromus carinatus"
"Bromus catharticus Vahl","Bromus catharticus Vahl","Bromus catharticus"
"Bromus ciliatus L.","Bromus ciliatus L.","Bromus ciliatus"
"Bromus ciliatus L. var. ciliatus","Bromus ciliatus L. var. ciliatus","Bromus ciliatus"
"Bromus diandrus Roth","Bromus diandrus Roth","Bromus diandrus"
"Bromus diandrus Roth ssp. diandrus","Bromus diandrus Roth ssp. diandrus","Bromus diandrus"
"Bromus erectus Huds.","Bromus erectus Huds.","Bromus erectus"
"Bromus grandis (Shear) Hitchc.","Bromus grandis (Shear) Hitchc.","Bromus grandis"
"Bromus hordeaceus L.","Bromus hordeaceus L.","Bromus hordeaceus"
"Bromus hordeaceus L. ssp. hordeaceus","Bromus hordeaceus subsp. hordeaceus","Bromus hordeaceus"
"Bromus inermis Leyss.","Bromus inermis Leyss.","Bromus inermis"
"Bromus kalmii A. Gray","Bromus kalmii A.Gray","Bromus kalmii"
"Bromus lanatipes (Shear) Rydb.","Bromus lanatipes (Shear) Rydb.","Bromus lanatipes"
"Bromus madritensis L.","Bromus madritensis L.","Bromus madritensis"
"Bromus marginatus Nees ex Steud.","Bromus marginatus Nees ex Steud.","Bromus marginatus"
"Bromus nottowayanus Fernald","Bromus nottowayanus Fernald","Bromus nottowayanus"
"Bromus porteri (J.M. Coult.) Nash","Bromus porteri (Coult.) Nash","Bromus porteri"
"Bromus pubescens Muhl. ex Willd.","Bromus pubescens Muhl. ex Willd.","Bromus pubescens"
"Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon","Bromus pumpellianus Scribn.","Bromus pumpellianus"
"Bromus racemosus L.","Bromus racemosus L.","Bromus racemosus"
"Bromus rubens L.","Bromus rubens L.","Bromus rubens"
"Bromus sitchensis Trin.","Bromus sitchensis Trin.","Bromus sitchensis"
"Bromus sp.","Bromus sp.","Bromus sp."
"Bromus spp.","Bromus spp.","Bromus sp."
"Bromus sterilis L.","Bromus sterilis L.","Bromus sterilis"
"Bromus tectorum L.","Bromus tectorum L.","Bromus tectorum"
"Bromus texensis (Shear) Hitchc.","Bromus texensis (Shear) Hitchc.","Bromus texensis"
"Bromus vulgaris (Hook.) Shear","Bromus vulgaris (Hook.) Shear","Bromus vulgaris"
"Broussonetia papyrifera (L.) L'Hér. ex Vent.","Broussonetia papyrifera (L.) L'Hér. ex Vent.","Broussonetia papyrifera"
"Brunnichia ovata (Walter) Shinners","Brunnichia ovata (Walter) Shinners","Brunnichia ovata"
"Bryum dichotomum Hedw.","Bryum dichotomum Hedw.","Bryum dichotomum"
"Buchnera americana L.","Buchnera americana L.","Buchnera americana"
"Buchnera sp.","Buchnera sp.","Buchnera sp."
"Buellia silicicola de Lesd.","Buellia silicicola de Lesd.","Buellia silicicola"
"Buglossoides arvensis (L.) I.M. Johnst.","Buglossoides arvensis (L.) I.M.Johnst.","Buglossoides arvensis"
"Bulbostylis capillaris (L.) Kunth ex C.B. Clarke","Bulbostylis capillaris (L.) Kunth ex C.B.Clarke","Bulbostylis capillaris"
"Bulbostylis ciliatifolia (Elliott) Fernald","Bulbostylis ciliatifolia (Elliott) Fernald","Bulbostylis ciliatifolia"
"Bulbostylis ciliatifolia (Elliott) Fernald var. coarctata (Elliott) Kral","Bulbostylis ciliatifolia var. coarctata (Elliott) Kral","Bulbostylis ciliatifolia"
"Bulbostylis sp.","Bulbostylis sp.","Bulbostylis sp."
"Bulbostylis spp.","Bulbostylis spp.","Bulbostylis sp."
"Bulbostylis stenophylla (Elliott) C.B. Clarke","Bulbostylis stenophylla (Elliott) C.B.Clarke","Bulbostylis stenophylla"
"Bulbostylis warei (Torr.) C.B. Clarke","Bulbostylis warei (Torr.) C.B.Clarke","Bulbostylis warei"
"Bunchosia glandulosa (Cav.) DC.","Bunchosia glandulosa (Cav.) DC.","Bunchosia glandulosa"
"Bupleurum americanum J.M. Coult. & Rose","Bupleurum americanum J.M.Coult. & Rose","Bupleurum americanum"
"Burmannia biflora L.","Burmannia biflora L.","Burmannia biflora"
"Burmannia capitata (J.F. Gmel.) Mart.","Burmannia capitata (Walter ex J.F.Gmel.) Mart.","Burmannia capitata"
"Burmannia sp.","Burmannia sp.","Burmannia sp."
"Bursera simaruba (L.) Sarg.","Bursera simaruba (L.) Sarg.","Bursera simaruba"
"Butia capitata (Mart.) Becc.","Butia capitata (Mart.) Becc.","Butia capitata"
"Butia sp.","Butia sp.","Butia sp."
"Cabomba caroliniana A. Gray","Cabomba caroliniana A.Gray","Cabomba caroliniana"
"Cajanus cajan (L.) Millsp.","Cajanus cajan (L.) Huth","Cajanus cajan"
"Ammophila breviligulata Fernald","Calamagrostis breviligulata (Fernald) Saarela","Calamagrostis breviligulata"
"Calamagrostis canadensis (Michx.) P. Beauv.","Calamagrostis canadensis (Michx.) P.Beauv.","Calamagrostis canadensis"
"Calamagrostis deschampsioides Trin.","Calamagrostis deschampsioides Trin.","Calamagrostis deschampsioides"
"Calamagrostis holmii Lange","Calamagrostis holmii Lange","Calamagrostis holmii"
"Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene","Calamagrostis inexpansa A.Gray","Calamagrostis inexpansa"
"Calamagrostis lapponica (Wahlenb.) Hartm.","Calamagrostis lapponica (Wahlenb.) Hartm.","Calamagrostis lapponica"
"Calamagrostis purpurascens R. Br.","Calamagrostis purpurascens R.Br.","Calamagrostis purpurascens"
"Calamagrostis canadensis (Michx.) P. Beauv. var. langsdorffii (Link) Inman","Calamagrostis purpurea (Trin.) Trin.","Calamagrostis purpurea"
"Calamagrostis rubescens Buckley","Calamagrostis rubescens Buckley","Calamagrostis rubescens"
"Calamagrostis sp.","Calamagrostis sp.","Calamagrostis sp."
"Calamagrostis spp.","Calamagrostis spp.","Calamagrostis sp."
"Calamagrostis stricta (Timm) Koeler","Calamagrostis stricta (Timm) Koeler","Calamagrostis stricta"
"Calamagrostis stricta (Timm) Koeler ssp. stricta","Calamagrostis stricta (Timm) Koeler ssp. stricta","Calamagrostis stricta"
"Calamintha sp.","Calamintha sp.","Calamintha sp."
"Calandrinia ciliata (Ruiz & Pav.) DC.","Calandrinia ciliata (Ruiz & Pav.) DC.","Calandrinia ciliata"
"Calandrinia sp.","Calandrinia sp.","Calandrinia sp."
"Calla palustris L.","Calla palustris L.","Calla palustris"
"Calliandra eriophylla Benth.","Calliandra eriophylla Benth.","Calliandra eriophylla"
"Callicarpa americana L.","Callicarpa americana L.","Callicarpa americana"
"Callicarpa sp.","Callicarpa sp.","Callicarpa sp."
"Callirhoe involucrata (Torr. & A. Gray) A. Gray","Callirhoe involucrata (Torr. & A.Gray) A.Gray","Callirhoe involucrata"
"Callirhoe leiocarpa R.F. Martin","Callirhoe leiocarpa R.F.Martin","Callirhoe leiocarpa"
"Callirhoe pedata (Nutt. ex Hook.) A. Gray","Callirhoe pedata (Nutt. ex Hook.) A.Gray","Callirhoe pedata"
"Callirhoe sp.","Callirhoe sp.","Callirhoe sp."
"Callisia graminea (Small) G. Tucker","Callisia graminea (Small) G.C.Tucker","Callisia graminea"
"Callisia ornata (Small) G. Tucker","Callisia ornata (Small) G.C.Tucker","Callisia ornata"
"Callisia rosea (Vent.) D.R. Hunt","Callisia rosea (Vent.) D.R.Hunt","Callisia rosea"
"Callisia sp.","Callisia sp.","Callisia sp."
"Callisia spp.","Callisia spp.","Callisia sp."
"Callitriche heterophylla Pursh ssp. heterophylla","Callitriche heterophylla Pursh ssp. heterophylla","Callitriche heterophylla"
"Callitriche marginata Torr.","Callitriche marginata Torr.","Callitriche marginata"
"Callitriche stagnalis Scop.","Callitriche stagnalis Scop.","Callitriche stagnalis"
"Calluna vulgaris (L.) Hull","Calluna vulgaris (L.) Hull","Calluna vulgaris"
"Calocedrus decurrens (Torr.) Florin","Calocedrus decurrens (Torr.) Florin","Calocedrus decurrens"
"Calochortus amabilis Purdy","Calochortus amabilis Purdy","Calochortus amabilis"
"Calochortus amoenus Greene","Calochortus amoenus Greene","Calochortus amoenus"
"Calochortus catalinae S. Watson","Calochortus catalinae S.Watson","Calochortus catalinae"
"Calochortus greenei S. Watson","Calochortus greenei S.Watson","Calochortus greenei"
"Calochortus leichtlinii Hook. f.","Calochortus leichtlinii Hook.f.","Calochortus leichtlinii"
"Calochortus minimus Ownbey","Calochortus minimus Ownbey","Calochortus minimus"
"Calochortus nuttallii Torr. & A. Gray","Calochortus nuttallii Torr.","Calochortus nuttallii"
"Calochortus sp.","Calochortus sp.","Calochortus sp."
"Calochortus venustus Douglas ex Benth.","Calochortus venustus Douglas ex Benth.","Calochortus venustus"
"Caloplaca cerina (Ehrh. ex Hedwig) Th. Fr.","Caloplaca cerina (Ehrh. ex Hedwig) Th. Fr.","Caloplaca cerina"
"Caloplaca holocarpa (Hoffm. ex Ach.) M. Wade","Caloplaca holocarpa (Hoffm. ex Ach.) M. Wade","Caloplaca holocarpa"
"Calopogon multiflorus Lindl.","Calopogon multiflorus Lindl.","Calopogon multiflorus"
"Calopogon sp.","Calopogon sp.","Calopogon sp."
"Calopogon tuberosus (L.) Britton, Sterns & Poggenb. var. tuberosus","Calopogon tuberosus var. tuberosus","Calopogon tuberosus"
"Calopogon tuberosus (L.) Britton, Sterns & Poggenb.","Calopogon tuberosus (L.) Britton, Sterns & Poggenb.","Calopogon tuberosus"
"Calopogonium caeruleum (Benth.) Suav.","Calopogonium caeruleum (Benth.) C.Wright","Calopogonium caeruleum"
"Calopogonium mucunoides Desv.","Calopogonium mucunoides Desv.","Calopogonium mucunoides"
"Caltha leptosepala DC. ssp. leptosepala var. leptosepala","Caltha leptosepala DC.","Caltha leptosepala"
"Caltha leptosepala DC.","Caltha leptosepala DC.","Caltha leptosepala"
"Caltha palustris L.","Caltha palustris L.","Caltha palustris"
"Caltha palustris L. var. palustris","Caltha palustris var. palustris","Caltha palustris"
"Calycanthus floridus L.","Calycanthus floridus L.","Calycanthus floridus"
"Calycocarpum lyonii (Pursh) A. Gray","Calycocarpum lyonii (Pursh) Nutt. ex A.Gray","Calycocarpum lyonii"
"Calycoseris sp.","Calycoseris sp.","Calycoseris sp."
"Calycoseris wrightii A. Gray","Calycoseris wrightii A.Gray","Calycoseris wrightii"
"Calylophus sp.","Calylophus sp.","Calylophus sp."
"Calypso bulbosa (L.) Oakes","Calypso bulbosa (L.) Oakes","Calypso bulbosa"
"Cistanthe monandra (Nutt.) Hershkovitz","Calyptridium monandrum Nutt.","Calyptridium monandrum"
"Cistanthe monosperma (Greene) Hershkovitz","Calyptridium monospermum Greene","Calyptridium monospermum"
"Cistanthe pygmaea (Parish ex Rydb.) Hershkovitz","Calyptridium pygmaeum Parish ex Rydb.","Calyptridium pygmaeum"
"Calystegia catesbeiana Pursh","Calystegia catesbeiana Pursh","Calystegia catesbeiana"
"Calystegia macounii (Greene) Brummitt","Calystegia macounii (Greene) Brummitt","Calystegia macounii"
"Calystegia malacophylla (Greene) Munz","Calystegia malacophylla (Greene) Munz","Calystegia malacophylla"
"Calystegia occidentalis (A. Gray) Brummitt ssp. occidentalis","Calystegia occidentalis subsp. occidentalis","Calystegia occidentalis"
"Calystegia sepium (L.) R. Br.","Calystegia sepium (L.) R.Br.","Calystegia sepium"
"Calystegia silvatica (Kit.) Griseb.","Calystegia silvatica (Kit.) Griseb.","Calystegia silvatica"
"Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt","Calystegia silvatica subsp. fraterniflora (Mack. & Bush) Brummitt","Calystegia silvatica"
"Calystegia sp.","Calystegia sp.","Calystegia sp."
"Calystegia spithamaea (L.) Pursh","Calystegia spithamaea (L.) Pursh","Calystegia spithamaea"
"Calystegia spithamaea (L.) Pursh ssp. stans (Michx.) Brummitt","Calystegia spithamaea subsp. stans (Michx.) Brummitt","Calystegia spithamaea"
"Camassia angusta (Engelm. & A. Gray) Blank.","Camassia angusta (Engelm. & A.Gray) Blank.","Camassia angusta"
"Camassia quamash (Pursh) Greene","Camassia quamash (Pursh) Greene","Camassia quamash"
"Camelina microcarpa Andrz. ex DC.","Camelina microcarpa Andrz. ex DC.","Camelina microcarpa"
"Camissonia sp.","Camissonia sp.","Camissonia sp."
"Campanula divaricata Michx.","Campanula divaricata Michx.","Campanula divaricata"
"Campanula glomerata L.","Campanula glomerata L.","Campanula glomerata"
"Campanula lasiocarpa Cham.","Campanula lasiocarpa Cham.","Campanula lasiocarpa"
"Campanula parryi A. Gray","Campanula parryi A.Gray","Campanula parryi"
"Campanula rapunculoides L.","Campanula rapunculoides L.","Campanula rapunculoides"
"Campanula rotundifolia L.","Campanula rotundifolia L.","Campanula rotundifolia"
"Campanula scouleri Hook. ex A. DC.","Campanula scouleri Hook. ex A.DC.","Campanula scouleri"
"Campanula sp.","Campanula sp.","Campanula sp."
"Campanula spp.","Campanula spp.","Campanula sp."
"Campanulastrum americanum (L.) Small","Campanulastrum americanum (L.) Small","Campanulastrum americanum"
"Campsis radicans (L.) Seem. ex Bureau","Campsis radicans (L.) Bureau","Campsis radicans"
"Canella winterana (L.) Gaertn.","Canella winterana (L.) Gaertn.","Canella winterana"
"Canna glauca L.","Canna glauca L.","Canna glauca"
"Canna indica L.","Canna indica L.","Canna indica"
"Hyptis mutabilis (A. Rich.) Briq.","Cantinoa mutabilis (Rich.) Harley & J.F.B.Pastore","Cantinoa mutabilis"
"Caperonia palustris (L.) A. St.-Hil.","Caperonia palustris (L.) A.St.-Hil.","Caperonia palustris"
"Corydalis sempervirens (L.) Pers.","Capnoides sempervirens (L.) Borkh.","Capnoides sempervirens"
"Capparis sp.","Capparis sp.","Capparis sp."
"Capsella bursa-pastoris (L.) Medik.","Capsella bursa-pastoris (L.) Medik.","Capsella bursa-pastoris"
"Capsicum annuum L.","Capsicum annuum L.","Capsicum annuum"
"Cardamine angustata O.E. Schulz","Cardamine angustata O.E.Schulz","Cardamine angustata"
"Cardamine bellidifolia L.","Cardamine bellidifolia L.","Cardamine bellidifolia"
"Cardamine breweri S. Watson","Cardamine breweri S.Watson","Cardamine breweri"
"Cardamine breweri S. Watson var. breweri","Cardamine breweri S. Watson var. breweri","Cardamine breweri"
"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.","Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.","Cardamine bulbosa"
"Cardamine concatenata (Michx.) Sw.","Cardamine concatenata (Michx.) O.Schwarz","Cardamine concatenata"
"Cardamine digitata Richardson","Cardamine digitata Richardson","Cardamine digitata"
"Cardamine diphylla (Michx.) Alph. Wood","Cardamine diphylla (Michx.) Alph.Wood","Cardamine diphylla"
"Cardamine hirsuta L.","Cardamine hirsuta L.","Cardamine hirsuta"
"Cardamine nuttallii Greene","Cardamine nuttallii Greene","Cardamine nuttallii"
"Cardamine oligosperma Nutt.","Cardamine oligosperma Nutt.","Cardamine oligosperma"
"Cardamine parviflora L.","Cardamine parviflora L.","Cardamine parviflora"
"Cardamine parviflora L. var. arenicola (Britton) O.E. Schulz","Cardamine parviflora L.","Cardamine parviflora"
"Cardamine pensylvanica Muhl. ex Willd.","Cardamine pensylvanica Muhl. ex Willd.","Cardamine pensylvanica"
"Cardamine pratensis L. var. angustifolia Hook.","Cardamine polemonioides (Rouy) T.Durand & B.D.Jacks.","Cardamine polemonioides"
"Cardamine pratensis L.","Cardamine pratensis L.","Cardamine pratensis"
"Cardamine pratensis L. var. pratensis","Cardamine pratensis L. var. pratensis","Cardamine pratensis"
"Cardamine sp.","Cardamine sp.","Cardamine sp."
"Cardiospermum halicacabum L.","Cardiospermum halicacabum L.","Cardiospermum halicacabum"
"Carduus acanthoides L.","Carduus acanthoides L.","Carduus acanthoides"
"Carduus nutans L.","Carduus nutans L.","Carduus nutans"
"Carduus pycnocephalus L.","Carduus pycnocephalus L.","Carduus pycnocephalus"
"Carduus sp.","Carduus sp.","Carduus sp."
"Carduus spp.","Carduus spp.","Carduus sp."
"Carex abscondita Mack.","Carex abscondita Mack.","Carex abscondita"
"Carex adelostoma Krecz.","Carex adelostoma V.I.Krecz.","Carex adelostoma"
"Carex aggregata Mack.","Carex aggregata Mack.","Carex aggregata"
"Carex albolutescens Schwein.","Carex albolutescens Schwein.","Carex albolutescens"
"Carex alligata Boott","Carex alligata Boott","Carex alligata"
"Carex amphibola Steud.","Carex amphibola Steud.","Carex amphibola"
"Carex annectens (E.P. Bicknell) E.P. Bicknell","Carex annectens (E.P.Bicknell) E.P.Bicknell","Carex annectens"
"Carex aquatilis Wahlenb.","Carex aquatilis Wahlenb.","Carex aquatilis"
"Carex aquatilis Wahlenb. var. stans (Drejer) Boott","Carex aquatilis var. minor Boott","Carex aquatilis"
"Carex arcta Boott","Carex arcta Boott","Carex arcta"
"Carex arctata Boott ex Hook.","Carex arctata Boott","Carex arctata"
"Carex assiniboinensis W. Boott","Carex assiniboinensis W.Boott","Carex assiniboinensis"
"Carex atherodes Spreng.","Carex atherodes Spreng.","Carex atherodes"
"Carex athrostachya Olney","Carex athrostachya Olney","Carex athrostachya"
"Carex atlantica L.H. Bailey","Carex atlantica L.H.Bailey","Carex atlantica"
"Carex atrofusca Schkuhr","Carex atrofusca Schkuhr","Carex atrofusca"
"Carex atrofusca Schkuhr var. atrofusca","Carex atrofusca Schkuhr var. atrofusca","Carex atrofusca"
"Carex aurea Nutt.","Carex aurea Nutt.","Carex aurea"
"Carex aureolensis Steud.","Carex aureolensis Steud.","Carex aureolensis"
"Carex austrina (Small) Mack.","Carex austrina Mack.","Carex austrina"
"Carex backii Boott","Carex backii Boott","Carex backii"
"Carex bebbii Olney ex Fernald","Carex bebbii (L.H.Bailey) Olney ex Fernald","Carex bebbii"
"Carex bicknellii Britton","Carex bicknellii Britton & A.Br.","Carex bicknellii"
"Carex bigelowii Torr. ex Schwein.","Carex bigelowii Torr. ex Schwein.","Carex bigelowii"
"Carex lugens T. Holm","Carex bigelowii subsp. lugens (Holm) T.V.Egorova","Carex bigelowii"
"Carex blanda Dewey","Carex blanda Dewey","Carex blanda"
"Carex bolanderi Olney","Carex bolanderi Olney","Carex bolanderi"
"Carex brevior (Dewey) Mack.","Carex brevior (Dewey) Mack. ex Lunell","Carex brevior"
"Carex bromoides Schkuhr ex Willd.","Carex bromoides Willd.","Carex bromoides"
"Carex brunnescens (Pers.) Poir.","Carex brunnescens (Pers.) Poir.","Carex brunnescens"
"Carex bushii Mack.","Carex bushii Mack.","Carex bushii"
"Carex canescens L.","Carex canescens L.","Carex canescens"
"Carex capillaris L.","Carex capillaris L.","Carex capillaris"
"Carex capitata L.","Carex capitata Sol.","Carex capitata"
"Carex caroliniana Schwein.","Carex caroliniana Schwein.","Carex caroliniana"
"Carex cephaloidea (Dewey) Dewey","Carex cephaloidea (Dewey) Dewey ex Boott","Carex cephaloidea"
"Carex cephalophora Muhl. ex Willd.","Carex cephalophora Muhl. ex Willd.","Carex cephalophora"
"Carex heteroneura W. Boott var. chalciolepis (T. Holm) F.J. Herm.","Carex chalciolepis Holm","Carex chalciolepis"
"Carex cherokeensis Schwein.","Carex cherokeensis Schwein.","Carex cherokeensis"
"Carex chordorrhiza Ehrh. ex L. f.","Carex chordorrhiza L.f.","Carex chordorrhiza"
"Carex communis L.H. Bailey","Carex communis L.H.Bailey","Carex communis"
"Carex conjuncta Boott","Carex conjuncta Boott","Carex conjuncta"
